sampleID,latitude,longitude,ecosystem (terrestrial/freshwater/marine),urban_rural,sampling methods,value,group,scaled_value
TI1_1,14.47,120.97,Terrestrial,urban,active,0.0179,abundance,0.007705114
TI1_10,14.97,121.04,Terrestrial,urban,active,0.0036,abundance,0.001560653
TI1_11,14.38,121,Terrestrial,urban,active,0.0084,abundance,0.003632837
TI1_12,14.59,120.97,Terrestrial,urban,active,0.0107,abundance,0.004622266
TI1_13,14.58,121.05,Terrestrial,urban,active,0.0072,abundance,0.003115717
TI1_14,14.8,120.95,Terrestrial,urban,active,0.0143,abundance,0.006166425
TI1_15,14.6,121.01,Terrestrial,urban,active,0.006,abundance,0.002597981
TI1_16,14.6,121.01,Terrestrial,urban,active,0.006,abundance,0.002597981
TI1_17,14.6,121.01,Terrestrial,urban,active,0.0227,abundance,0.009748256
TI1_2,14.67,120.97,Terrestrial,urban,active,0.0084,abundance,0.003632837
TI1_3,14.94,121.01,Terrestrial,urban,active,0.0012,abundance,0.000520841
TI1_4,14.63,121.09,Terrestrial,urban,active,0.0143,abundance,0.006166425
TI1_5,14.75,121.01,Terrestrial,urban,active,0.0024,abundance,0.001041058
TI1_6,14.5,121.05,Terrestrial,urban,active,0.0119,abundance,0.005137596
TI1_7,14.67,120.94,Terrestrial,urban,active,0.0167,abundance,0.007192824
TI1_8,14.53,121.01,Terrestrial,urban,active,0.0107,abundance,0.004622266
TI1_9,14.52,121.01,Terrestrial,urban,active,0.0227,abundance,0.009748256
TI104_1,60.7,-135.01,Terrestrial,rural,passive,3,deposition,0.602059991
TI104_2,60.7,-135.01,Terrestrial,Rural,passive,6,deposition,0.84509804
TI104_3,60.7,-135.01,Terrestrial,rural,passive,17,deposition,1.255272505
TI105_1,36.62,109.46,Terrestrial,urban,passive,162.3,deposition,2.212986185
TI105_10,34.27,108.96,Terrestrial,urban,passive,349.6,deposition,2.544811912
TI105_11,34.35,108.98,Terrestrial,urban,passive,281.4,deposition,2.450864692
TI105_12,34.19,108.88,Terrestrial,urban,passive,236.9,deposition,2.376394442
TI105_2,34.35,107.23,Terrestrial,urban,passive,224.5,deposition,2.353146546
TI105_3,34.91,108.99,Terrestrial,urban,passive,97.6,deposition,1.993876915
TI105_4,34.35,108.73,Terrestrial,urban,passive,258.6,deposition,2.414304688
TI105_5,34.49,109.52,Terrestrial,urban,passive,231.1,deposition,2.36567514
TI105_6,38.27,109.76,Terrestrial,urban,passive,189.7,deposition,2.280350693
TI105_7,33.07,107.04,Terrestrial,urban,passive,142.2,deposition,2.155943018
TI105_8,32.68,109.04,Terrestrial,urban,passive,130.2,deposition,2.117933835
TI105_9,33.86,109.95,Terrestrial,urban,passive,161.4,deposition,2.210586025
TI108_1,-19.05,-98.94,Terrestrial,urban,active,0.205,abundance,0.080987047
TI109_1,28,123,Marine,Coastal,active,0.13,abundance,0.053078443
TI109_1,20,133,Marine,remote area,active,0.01,abundance,0.004321374
TI111_1,36.42,60.86,Terrestrial,urban,passive,2105,deposition,3.323458367
TI111_10,36.43,60.83,Terrestrial,urban,passive,3509,deposition,3.545307116
TI111_2,36.42,60.86,Terrestrial,urban,passive,1754,deposition,3.244277121
TI111_3,36.42,60.86,Terrestrial,urban,passive,2105,deposition,3.323458367
TI111_4,36.43,60.86,Terrestrial,urban,passive,3157,deposition,3.499412126
TI111_5,36.45,60.82,Terrestrial,urban,passive,2807,deposition,3.448397103
TI111_6,36.41,60.84,Terrestrial,suburban,passive,3509,deposition,3.545307116
TI111_7,36.48,60.81,Terrestrial,urban,passive,2456,deposition,3.390405156
TI111_8,36.41,60.84,Terrestrial,suburban,passive,2807,deposition,3.448397103
TI111_9,36.4,60.87,Terrestrial,suburban,passive,2105,deposition,3.323458367
TI113_1,41.38,25.58,Terrestrial,urban,active,0.8,abundance,0.255272505
TI124_1,24.67,118.1,Terrestrial,urban,active,0.01,abundance,0.004321374
TI124_2,24.63,118.3,Terrestrial,suburban,active,0.013,abundance,0.005609445
TI139_1,30.65,103.05,Terrestrial,suburban,passive,2895,deposition,3.461798558
TI139_2,30.65,103.99,Terrestrial,suburban,passive,1979,deposition,3.29666519
TI144_1,30.65,120.68,Terrestrial,urban,active,2.5,abundance,0.544068044
TI146_1,30.2,123.06,Marine,remote area,active,0.048,abundance,0.020361283
TI146_10,-44.41,150.09,Marine,remote area,active,0.0315,abundance,0.013469232
TI146_11,-45.85,147.42,Marine,remote area,active,0.0246,abundance,0.010554352
TI146_12,-54.24,144.16,Marine,remote area,active,0.0398,abundance,0.016949813
TI146_13,-60.34,129.58,Marine,remote area,active,0.045,abundance,0.01911629
TI146_14,-60.89,109.6,Marine,remote area,active,0.0297,abundance,0.012710713
TI146_15,-61.65,89.95,Marine,remote area,active,0.0195,abundance,0.00838723
TI146_16,-64.04,103.43,Marine,remote area,active,0.0247,abundance,0.010596736
TI146_17,-64.39,128.36,Marine,remote area,active,0.0344,abundance,0.014688512
TI146_18,-64.74,146.33,Marine,remote area,active,0.0355,abundance,0.015150103
TI146_19,-65.17,151.61,Marine,remote area,active,0.0364,abundance,0.015527404
TI146_2,24.97,128.18,Marine,remote area,active,0.038,abundance,0.016197354
TI146_20,-65.27,152.93,Marine,remote area,active,0.0445,abundance,0.018908444
TI146_21,-65.42,82,Marine,remote area,active,0.0285,abundance,0.012204296
TI146_22,-65.62,77.77,Marine,remote area,active,0.0412,abundance,0.017534159
TI146_23,-68.97,76.42,Marine,remote area,active,0.034,abundance,0.014520539
TI146_24,-69.3,76.23,Marine,remote area,active,0.0224,abundance,0.009620841
TI146_25,-73.86,76.97,Marine,remote area,active,0.0027,abundance,0.001171015
TI146_26,-73.86,76.97,Marine,remote area,active,0.0083,abundance,0.003589767
TI146_3,18.67,134.05,Marine,remote area,active,0.0316,abundance,0.013511333
TI146_4,12.79,139.81,Marine,remote area,active,0.0226,abundance,0.009705788
TI146_5,5.12,146.94,Marine,remote area,active,0.0405,abundance,0.017242085
TI146_6,-4.71,152.56,Marine,remote area,active,0.0408,abundance,0.017367284
TI146_7,-13.66,155.27,Marine,remote area,active,0.0422,abundance,0.017951069
